16:14:58.445 INFO  org.agmip.ui.aceb2csv.App - Translating file: Survey_data_import-Navrongo_Mz.aceb
16:14:58.770 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
16:14:58.770 INFO  org.agmip.ace.AceDataset - sid found - 677ee97ee90cf525b8b393dbe24c750c3a09aa9e034413bcac56be41a8075441
16:14:58.770 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
16:14:58.770 INFO  org.agmip.ace.AceDataset - sid found - 677ee97ee90cf525b8b393dbe24c750c3a09aa9e034413bcac56be41a8075441
16:14:58.770 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
16:14:58.770 INFO  org.agmip.ace.AceDataset - sid found - 677ee97ee90cf525b8b393dbe24c750c3a09aa9e034413bcac56be41a8075441
16:14:58.770 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
16:14:58.770 INFO  org.agmip.ace.AceDataset - sid found - 677ee97ee90cf525b8b393dbe24c750c3a09aa9e034413bcac56be41a8075441
16:14:58.770 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
16:14:58.770 INFO  org.agmip.ace.AceDataset - sid found - 677ee97ee90cf525b8b393dbe24c750c3a09aa9e034413bcac56be41a8075441
16:14:58.770 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
16:14:58.770 INFO  org.agmip.ace.AceDataset - sid found - 677ee97ee90cf525b8b393dbe24c750c3a09aa9e034413bcac56be41a8075441
16:14:58.771 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
16:14:58.771 INFO  org.agmip.ace.AceDataset - sid found - 677ee97ee90cf525b8b393dbe24c750c3a09aa9e034413bcac56be41a8075441
16:14:58.771 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
16:14:58.771 INFO  org.agmip.ace.AceDataset - sid found - 677ee97ee90cf525b8b393dbe24c750c3a09aa9e034413bcac56be41a8075441
16:14:58.771 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
16:14:58.771 INFO  org.agmip.ace.AceDataset - sid found - 677ee97ee90cf525b8b393dbe24c750c3a09aa9e034413bcac56be41a8075441
16:14:58.771 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
16:14:58.771 INFO  org.agmip.ace.AceDataset - sid found - 677ee97ee90cf525b8b393dbe24c750c3a09aa9e034413bcac56be41a8075441
16:14:58.771 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
16:14:58.771 INFO  org.agmip.ace.AceDataset - sid found - 677ee97ee90cf525b8b393dbe24c750c3a09aa9e034413bcac56be41a8075441
16:14:58.771 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
16:14:58.771 INFO  org.agmip.ace.AceDataset - sid found - 677ee97ee90cf525b8b393dbe24c750c3a09aa9e034413bcac56be41a8075441
16:14:58.771 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
16:14:58.771 INFO  org.agmip.ace.AceDataset - sid found - 677ee97ee90cf525b8b393dbe24c750c3a09aa9e034413bcac56be41a8075441
16:14:58.771 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
16:14:58.771 INFO  org.agmip.ace.AceDataset - sid found - 677ee97ee90cf525b8b393dbe24c750c3a09aa9e034413bcac56be41a8075441
16:14:58.771 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
16:14:58.771 INFO  org.agmip.ace.AceDataset - sid found - 677ee97ee90cf525b8b393dbe24c750c3a09aa9e034413bcac56be41a8075441
16:14:58.771 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
